crash_date,crash_time,borough,zip_code,longitude,latitude,on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed
2019-01-01T00:00:00.000,0:00,,,-73.8928450,40.8827000,SEDGWICK AVENUE                 ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,4:12,MANHATTAN,10001,-74.0027900,40.7495900,WEST 26 STREET                  ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,12:58,QUEENS,11414,-73.8542800,40.6622730,79 STREET                       ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,6:40,,,,,MANOR ROAD                      ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,1:41,BROOKLYN,11213,-73.9296100,40.6714130,,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,10:40,STATEN ISLAND,10310,-74.1140300,40.6373860,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,17:58,,,-73.8451800,40.7371180,GRAND CENTRAL PKWY              ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,4:15,BRONX,10472,-73.8784300,40.8336070,WARD AVENUE                     ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,18:50,BRONX,10464,-73.7901500,40.8535460,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,3:45,,,-73.7762150,40.7684900,35 AVENUE                       ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,12:00,,,-73.7625350,40.7256200,GRAND CENTRAL PARKWAY           ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,2:00,,,-73.8736900,40.8362960,CROSS BRONX EXPY                ,4,0,0,0,0,0,4,0
2019-01-01T00:00:00.000,21:30,,,-74.1503750,40.6370540,RICHMOND TERRACE                ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,1:20,,,-73.8987400,40.8842960,MAJOR DEEGAN EXPRESSWAY         ,2,0,0,0,0,0,2,0
2019-01-01T00:00:00.000,2:42,QUEENS,11421,-73.8515100,40.6924200,WOODHAVEN BOULEVARD             ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,15:10,BROOKLYN,11219,-73.9933500,40.6321030,,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,4:35,MANHATTAN,10012,-73.9967800,40.7254300,BROADWAY                        ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,20:55,QUEENS,11435,-73.8124600,40.7121120,84 DRIVE                        ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,0:25,BRONX,10457,-73.9032000,40.8529470,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,5:40,BRONX,10475,-73.8327260,40.8844800,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,17:11,QUEENS,11354,-73.8281400,40.7639580,UNION STREET                    ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,5:00,MANHATTAN,10153,-73.9732500,40.7639400,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,6:02,BROOKLYN,11208,-73.8766250,40.6823900,FULTON STREET                   ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,1:47,BROOKLYN,11207,-73.8936540,40.6632200,PENNSYLVANIA AVENUE             ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,14:15,,,-74.0003800,40.6860770,BROOKLYN QUEENS EXPRESSWAY      ,1,0,0,0,0,0,1,0
2019-01-01T00:00:00.000,15:35,,,-73.9414400,40.8235050,8 AVENUE                        ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,11:15,,,-73.8941960,40.6575550,LINDEN BOULEVARD                ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,9:00,BRONX,10475,-73.8296360,40.8771250,,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,19:12,,,,,SHORE PARKWAY                   ,0,0,0,0,0,0,0,0
2019-01-01T00:00:00.000,1:05,BROOKLYN,11207,-73.8965150,40.6743970,PENNSYLVANIA AVENUE             ,1,0,1,0,0,0,0,0
2019-01-01T00:00:00.000,17:40,,,-73.7699400,40.6673500,BELT PARKWAY                    ,1,0,0,0,0,0,1,0
